plateID,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate,2018_9_3_plate
reaction_type,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,test1,test1,test1,all_products,all_products,all_products,all_products,all_products,all_products,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,test1,test1,test1,all_products,all_products,all_products,all_products,all_products,all_products,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,test1,test1,test1,all_products,all_products,all_products,all_products,all_products,all_products,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,test1,test1,test1,all_products,all_products,all_products,all_products,all_products,all_products,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,test1,test1,test1,test1,test1,test1,test1,all_products,all_products,all_products,all_products,all_products,all_products,all_products,test1,test1,test1,test1,test1,test1,test1,all_products,all_products,all_products,all_products,all_products,all_products,all_products,test1,test1,test1,test1,test1,test1,test1,all_products,all_products,all_products,all_products,all_products,all_products,all_products,test1,test1,test1,all_products,all_products,all_products,all_products,all_products,all_products
unique_sampleID_number,246,270,318,342,366,390,414,gblock+IRE_plus18IRE,gblock+IRE_plus18IRE,gblock+IRE_plus18IRE,gblock+IRE_plus18IRE,gblock+IRE_plus18IRE,gblock+IRE_plus18IRE,gblock_minusIRE_onlyExonnoIRE,gblock_minusIRE_onlyExonnoIRE,gblock_minusIRE_onlyExonnoIRE,246,270,318,342,366,390,414,gblock+IRE_plus18IRE,gblock+IRE_plus18IRE,gblock+IRE_plus18IRE,gblock+IRE_plus18IRE,gblock+IRE_plus18IRE,gblock+IRE_plus18IRE,gblock_minusIRE_onlyExonnoIRE,gblock_minusIRE_onlyExonnoIRE,gblock_minusIRE_onlyExonnoIRE,247,271,319,343,367,391,415,gblock+IRE_plus18IRE,gblock+IRE_plus18IRE,gblock+IRE_plus18IRE,gblock+IRE_plus18IRE,gblock+IRE_plus18IRE,gblock+IRE_plus18IRE,gblock_minusIRE_onlyExonnoIRE,gblock_minusIRE_onlyExonnoIRE,gblock_minusIRE_onlyExonnoIRE,247,271,319,343,367,391,415,gblock+IRE_plus18IRE,gblock+IRE_plus18IRE,gblock+IRE_plus18IRE,gblock+IRE_plus18IRE,gblock+IRE_plus18IRE,gblock+IRE_plus18IRE,gblock_minusIRE_onlyExonnoIRE,gblock_minusIRE_onlyExonnoIRE,gblock_minusIRE_onlyExonnoIRE,248,272,320,344,368,392,416,gblock+IRE_plus18IRE,gblock+IRE_plus18IRE,gblock+IRE_plus18IRE,gblock+IRE_plus18IRE,gblock+IRE_plus18IRE,gblock+IRE_plus18IRE,gblock_minusIRE_onlyExonnoIRE,gblock_minusIRE_onlyExonnoIRE,gblock_minusIRE_onlyExonnoIRE,248,272,320,344,368,392,416,gblock+IRE_plus18IRE,gblock+IRE_plus18IRE,gblock+IRE_plus18IRE,gblock+IRE_plus18IRE,gblock+IRE_plus18IRE,gblock+IRE_plus18IRE,gblock_minusIRE_onlyExonnoIRE,gblock_minusIRE_onlyExonnoIRE,gblock_minusIRE_onlyExonnoIRE,257,305,329,353,377,401,437,gblock+IRE_plus18IRE,gblock+IRE_plus18IRE,gblock+IRE_plus18IRE,gblock+IRE_plus18IRE,gblock+IRE_plus18IRE,gblock+IRE_plus18IRE,gblock_minusIRE_onlyExonnoIRE,gblock_minusIRE_onlyExonnoIRE,gblock_minusIRE_onlyExonnoIRE,257,305,329,353,377,401,437,gblock+IRE_plus18IRE,gblock+IRE_plus18IRE,gblock+IRE_plus18IRE,gblock+IRE_plus18IRE,gblock+IRE_plus18IRE,gblock+IRE_plus18IRE,gblock_minusIRE_onlyExonnoIRE,gblock_minusIRE_onlyExonnoIRE,gblock_minusIRE_onlyExonnoIRE,258,306,330,354,378,402,438,gblock+IRE_plus18IRE,gblock+IRE_plus18IRE,gblock+IRE_plus18IRE,gblock+IRE_plus18IRE,gblock+IRE_plus18IRE,gblock+IRE_plus18IRE,gblock_minusIRE_onlyExonnoIRE,gblock_minusIRE_onlyExonnoIRE,gblock_minusIRE_onlyExonnoIRE,258,306,330,354,378,402,438,259,307,332,355,379,403,439,259,307,332,355,379,403,439,260,308,331,356,380,404,440,260,308,331,356,380,404,440,269,317,341,365,389,413,449,269,317,341,365,389,413,449,NTC,NTC,NTC,NTC,NTC,NTC,NTC,NTC,NTC
starting_quantity,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,100,100,100,100,100,100,100,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50,50,50,50,50,50,50,50,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10,10,10,10,10,10,10,10,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,5,5,5,5,5,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1,1,1,1,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cycle_number,A1,A2,A3,A4,A5,A6,A7,A16,A17,A18,A19,A20,A21,A22,A23,A24,B1,B2,B3,B4,B5,B6,B7,B16,B17,B18,B19,B20,B21,B22,B23,B24,C1,C2,C3,C4,C5,C6,C7,C16,C17,C18,C19,C20,C21,C22,C23,C24,D1,D2,D3,D4,D5,D6,D7,D16,D17,D18,D19,D20,D21,D22,D23,D24,E1,E2,E3,E4,E5,E6,E7,E16,E17,E18,E19,E20,E21,E22,E23,E24,F1,F2,F3,F4,F5,F6,F7,F16,F17,F18,F19,F20,F21,F22,F23,F24,G1,G2,G3,G4,G5,G6,G7,G16,G17,G18,G19,G20,G21,G22,G23,G24,H1,H2,H3,H4,H5,H6,H7,H16,H17,H18,H19,H20,H21,H22,H23,H24,I1,I2,I3,I4,I5,I6,I7,I16,I17,I18,I19,I20,I21,I22,I23,I24,J1,J2,J3,J4,J5,J6,J7,K1,K2,K3,K4,K5,K6,K7,L1,L2,L3,L4,L5,L6,L7,M1,M2,M3,M4,M5,M6,M7,N1,N2,N3,N4,N5,N6,N7,O1,O2,O3,O4,O5,O6,O7,P1,P2,P3,P4,P5,P6,P7,P16,P17,P18,P19,P20,P21,P22,P23,P24
1,3402.82,3500.45,3422.97,3478.42,3412.45,3460.7,3415.7,3567.65,3543.61,3545.54,3582.58,3461.93,3578.16,3594.31,3638.56,3554.59,3439.12,3686.8,3699.73,3609.28,3675.82,3669.98,3727.62,3560.12,3674.41,3545.26,3714.22,3678.1,3534.88,3531.38,3585.79,3554.22,3481.55,3472.68,3504.05,3493.29,3508.99,3431.76,3471.42,3511.29,3528.82,3552.21,3424.09,3513.14,3498.63,3621.46,3597.89,3640.95,3523.03,3572.08,3663.89,3652.57,3669.26,3673.84,3707.54,3505.47,3633.26,3652.73,3607.62,3602.3,3463.15,3489.39,3535.98,3660.54,3460.03,3485.17,3487.81,3492.67,3438.11,3548.14,3520.69,3478.22,3447.45,3469.73,3469.3,3396.89,3471.16,3588.8,3584.84,3547.3,3504.01,3554.5,3674.56,3725.94,3674.68,3614.59,3769.97,3615.86,3616.62,3565.51,3629.06,3612.92,3448.96,3485.1,3507.37,3619.68,3488.29,3500.87,3481.34,3528.1,3503.84,3556.78,3484.81,3426.82,3432,3349.76,3441.47,3461.06,3494.29,3518.46,3534.37,3500.47,3529.01,3631.95,3568.16,3575.06,3572.15,3621.53,3697.09,3560.1,3580.32,3615.33,3488.97,3563.22,3478.83,3333.21,3453.44,3539.57,3434.9,3536.21,3422.8,3538.27,3502.25,3529,3414.92,3381.72,3409.51,3441.97,3429.37,3415.99,3479.74,3459.41,3516.72,3482.64,3565.27,3621.74,3642.11,3608.06,3729.84,3586.76,3649.76,3564.08,3553.68,3497.05,3454.32,3460.41,3530.81,3512.78,3492.2,3684.97,3718,3675.67,3705.92,3620.37,3639.01,3571.9,3592.05,3553.74,3497.33,3497.32,3471.42,3497.77,3640.06,3719.1,3687.08,3732.11,3742.68,3534,3582.32,3552.61,3568.54,3542.43,3513.54,3471.79,3492.4,3520.4,3587.06,3638.98,3726.29,3597.86,3577.52,3534.97,3539.44,3450.74,3499.95,3458.87,3471.04,3461.74,3325.95,3357.2,3354.43,3353.37
2,3395.71,3474.48,3407.05,3448.8,3398.11,3429.84,3401.32,3540.01,3520.99,3516.47,3555.68,3436.4,3558.91,3566,3609.75,3526.49,3419.32,3651.49,3644.44,3567.42,3614.7,3617.39,3671.25,3515.21,3620.92,3497.45,3651.66,3616.47,3484.38,3484,3537.83,3523.98,3459.75,3440.77,3479.98,3461.64,3472.38,3394.85,3440,3468.79,3487.26,3512.39,3388.97,3472.48,3464.34,3587.1,3558.65,3623.06,3484.1,3522.55,3619.65,3602.22,3609.2,3619.08,3652.74,3455.05,3568.68,3585.85,3554.55,3542.83,3423.54,3430.63,3495.48,3629.24,3440.86,3444.81,3459.81,3457.38,3402.77,3512.29,3491.53,3444.54,3415.43,3436.81,3435.64,3361.53,3439.24,3550.13,3550.63,3528.44,3460.64,3515.97,3617.7,3660.49,3625.08,3559.03,3714.28,3562.13,3564.92,3499.48,3573.96,3546.98,3411.97,3429.04,3465.54,3584.01,3475.67,3475.07,3467.24,3494.91,3470.26,3517.51,3457.52,3395.08,3400.95,3314.41,3415.19,3415.33,3459.94,3482.79,3492.62,3479.24,3501.07,3601.48,3546.9,3538.81,3540.54,3577.28,3645.22,3515,3544.33,3558.69,3457.28,3504.49,3445.87,3294.57,3419.6,3513.08,3418.93,3510.55,3405.92,3520.05,3478.96,3508.87,3394.89,3356.59,3382.38,3394.92,3402.54,3381.55,3438.96,3435.62,3484.09,3468.76,3537.5,3573.78,3596.65,3563.71,3685.8,3541.48,3615.67,3540.15,3522.77,3459.03,3420.61,3430.73,3495.38,3481.65,3471.15,3633.34,3675.52,3630.98,3668.43,3566.09,3593.21,3555.16,3564.93,3517.88,3455.94,3466.62,3437.91,3464.77,3612.53,3669.72,3641.44,3675.5,3671.72,3484.73,3532.81,3530.5,3521.63,3503.81,3469.35,3432.86,3456.39,3485.29,3568.79,3622.49,3692.66,3571.43,3549.35,3516.05,3502.31,3418.96,3466.48,3425.62,3441.28,3431.98,3308.85,3334.85,3335.14,3340.26
3,3385.49,3468.19,3403.95,3440.76,3396.57,3427.51,3397.26,3539.65,3518.53,3512.05,3558.97,3440.08,3558.06,3568.71,3609.23,3554.97,3413.55,3651.22,3636.61,3562.45,3609.98,3619.94,3670.32,3504.43,3608.7,3491.04,3649.17,3613.82,3481.65,3475.23,3517.4,3520.65,3461.46,3433.01,3475.5,3459.49,3468.34,3394.17,3443.93,3465.92,3482.28,3505.54,3383.99,3470.06,3459.15,3582.51,3558.13,3626.25,3480.56,3517.8,3617.68,3600.87,3604.42,3616.15,3644.42,3448.69,3566.65,3585.77,3551.8,3537.73,3416.91,3429.84,3487.37,3618.66,3435.29,3443.9,3460.67,3454.78,3405.18,3506.05,3493.02,3439.47,3410.77,3430.77,3429.45,3354.13,3434.46,3544.11,3546.51,3527.88,3455.1,3514.68,3621.51,3663.2,3625.08,3559.1,3709.62,3561.89,3567.81,3495.55,3567.99,3543.18,3407.56,3427.67,3457.9,3575.24,3477.02,3478.03,3466.64,3491.69,3471.82,3516.19,3454.49,3389.23,3398.63,3312.13,3412.06,3410.46,3454.1,3482.76,3492.7,3477.57,3495.56,3597.16,3543.41,3532.55,3541.57,3572.28,3645.38,3507.84,3540.15,3553.87,3454.81,3504.12,3437.01,3290.75,3412.88,3506.38,3417.71,3510.47,3401.51,3517.45,3481.87,3499.85,3392.8,3350.81,3378.45,3392.99,3401.17,3378.83,3441.89,3433.81,3484.39,3463.51,3528.52,3572.03,3596.52,3561.98,3687.86,3534.38,3609.82,3537.22,3518.64,3459.85,3416.56,3430.18,3490.89,3480.25,3466.95,3633.25,3669.54,3629.2,3666.96,3564.73,3591.84,3552.02,3560.36,3519.12,3457.49,3465.61,3438.82,3468.78,3608.13,3665.57,3635.55,3673.38,3672.67,3483.09,3531.71,3528.16,3526.62,3505.28,3468.25,3428.43,3456.68,3480.1,3572.27,3619.18,3686.92,3569.2,3546.56,3508.78,3500.39,3415.58,3460.23,3423.46,3439.31,3431.5,3302.06,3329.45,3327.09,3343.04
4,3382.13,3466.25,3400.87,3437.29,3392.42,3418.66,3394.24,3531.24,3515.93,3508.33,3553.36,3437.22,3554.77,3564.58,3606.59,3558.66,3412.96,3646.32,3636.46,3559.8,3605.24,3612.44,3663.94,3506.81,3606.79,3493.72,3645.69,3606.64,3478.12,3470.43,3522.6,3514.7,3460.79,3432.78,3476.58,3457.86,3466.09,3388.41,3438.75,3465.01,3484.81,3500.4,3380.72,3467.38,3459.71,3579.53,3553.11,3616.11,3475.24,3511.26,3611.82,3596.47,3597.39,3609.5,3643.8,3439.31,3562.51,3580.82,3549.48,3534.97,3413.54,3418.7,3484.77,3615.53,3432.1,3442.49,3455.9,3453,3400.09,3501.72,3487.67,3440.27,3410.55,3428,3422.73,3353.53,3435.46,3542.23,3543.19,3527.03,3454.74,3507.02,3616.66,3654.61,3617.48,3561.99,3709.29,3556.13,3563.38,3493.63,3565.85,3540.57,3399.07,3419.26,3450.5,3569.66,3467.19,3471.07,3461.26,3485.26,3464.52,3509.67,3453.96,3387.48,3392.72,3308.54,3409.44,3407.41,3451.99,3480.59,3490.1,3474.83,3489.83,3588.63,3542.92,3528.36,3536.27,3566.62,3642.98,3504.53,3537.48,3544.8,3450.27,3495.98,3437.59,3285.43,3407.47,3504.84,3414.64,3499.84,3399.64,3512.53,3476.58,3499.73,3391.2,3350.58,3376.73,3394.55,3396.57,3379.7,3437.49,3428.95,3477.02,3461.63,3524.2,3570.61,3590.32,3556.73,3683.28,3534.78,3606.82,3532.92,3514.48,3453.87,3416.12,3429.82,3489.81,3474.21,3467.18,3633.72,3672.57,3628.29,3663.07,3567.57,3586.07,3552.45,3557.68,3513.12,3451.26,3460.21,3434.22,3463.9,3604.43,3666.14,3634.75,3666.71,3665.49,3479.77,3524.51,3529.54,3521.2,3505.72,3467.3,3421.25,3450.64,3472,3561.68,3612.15,3680.86,3560.37,3535.33,3502.39,3498.27,3406.12,3453.47,3417.74,3431.99,3420.38,3295.93,3323.62,3319.36,3336.65
5,3375.62,3458.78,3400.36,3434.86,3393.19,3419.32,3394.15,3530.7,3518.68,3509.44,3551.17,3432.83,3553.95,3567.2,3615.39,3563.84,3408.55,3639.27,3635.87,3555.36,3603.38,3610.94,3659.4,3499.87,3609.01,3489.87,3644.55,3605.8,3475.06,3469.77,3514.5,3510.35,3453.75,3423.46,3469.25,3452.22,3465.07,3383.6,3434.14,3462.17,3479.7,3496.76,3377.28,3465.22,3455.03,3580.79,3554.79,3614.18,3467.04,3508.87,3605.72,3592.75,3594.57,3605.36,3638.31,3440.53,3561.15,3580.14,3544.99,3532.06,3412.94,3422.81,3485.22,3616.2,3429.42,3439.99,3454.68,3453.34,3399.75,3501.67,3486.06,3440.1,3408.94,3427.81,3427.48,3352.39,3434.68,3541.38,3542.39,3517.86,3446.07,3498.68,3610.52,3658.34,3611.02,3561.61,3700.39,3549.59,3560.3,3488.33,3563.18,3533.42,3395.96,3419.67,3448.56,3570.27,3466.47,3465.46,3460.89,3490.05,3468.13,3511.06,3450.69,3384.5,3389.71,3305.01,3410.21,3411.52,3449.76,3475.34,3490.19,3471.43,3483.79,3584.65,3539.2,3525.35,3531.6,3564.05,3639.84,3505.65,3530.71,3547.63,3447.21,3494.25,3434.88,3284.17,3397.09,3502.15,3407.99,3500.23,3398.06,3513.77,3476.99,3497.46,3388.52,3351.93,3378.99,3391.74,3395.84,3373.6,3434.15,3432.44,3473.19,3459.41,3520.89,3563.14,3592.67,3554.38,3675.53,3527.9,3601.31,3526.23,3514.45,3456.66,3416.66,3425.92,3485.7,3472.9,3461.69,3625.89,3664.53,3619.02,3653.88,3561.49,3585.76,3547.5,3554.4,3508.56,3453.71,3460.33,3429.59,3458.55,3607.15,3658.86,3630.09,3660.47,3657.33,3475.17,3522.86,3526.4,3519.9,3498.88,3462.67,3427.47,3449.19,3473.43,3558.58,3609.93,3681.89,3554.23,3529.39,3498.26,3493.4,3408.77,3449.6,3414.68,3432.17,3420.35,3292.18,3318.17,3316.83,3332.73
